ch1,ch2,ch3,ch4,train_loss,train_acc,test_loss,test_acc,lr
3,3,3,3,"[4.481528762052816, 4.17740930550134, 3.9904445020883066, 3.913590602783252, 3.86851617013976]","[2.1933333333333334, 6.493333333333333, 9.816666666666666, 11.246666666666666, 12.183333333333334]","[4.302260982229354, 4.218611222632388, 3.9891285629982645, 4.026666438325923, 3.8628042035914483]","[4.433333333333334, 6.05, 9.5, 9.933333333333334, 12.75]","[0.003275997400965334, 0.0004865025990345062, 0.0004865025990349375, 0.0032759974009661935, 0.005000000000003618]"
3,3,3,6,"[4.4085284489304275, 4.092947442902685, 3.892667209415802, 3.8085383461482487, 3.745291874861158]","[3.17, 8.196666666666667, 11.706666666666667, 13.326666666666666, 14.47]","[4.269616894265439, 3.9813647105338728, 3.8914045057398208, 3.8318615771354514, 3.770901972943164]","[4.85, 10.033333333333333, 11.683333333333334, 13.316666666666666, 14.15]","[0.003275997400965334, 0.0004865025990345062, 0.0004865025990349375, 0.0032759974009661935, 0.005000000000003618]"
3,3,3,9,"[4.4398830226743655, 4.09334386665938, 3.890095120045676, 3.7936820432321348, 3.723911012413659]","[2.96, 8.0, 11.76, 13.773333333333333, 14.743333333333334]","[4.183463384496405, 4.002049383964945, 3.8174598534056483, 3.780342861692956, 3.691359703845166]","[6.4, 9.716666666666667, 12.5, 14.05, 15.916666666666666]","[0.003275997400965334, 0.0004865025990345062, 0.0004865025990349375, 0.0032759974009661935, 0.005000000000003618]"
3,3,3,12,"[4.247180270996175, 3.8972302741333364, 3.793651313161545, 3.712158100183076, 3.6643335849745697]","[6.02, 11.92, 13.563333333333333, 15.236666666666666, 16.073333333333334]","[3.953644809570718, 3.805434097634985, 3.8489952429812004, 3.7569805307591215, 3.7039547308962395]","[10.316666666666666, 13.516666666666667, 12.766666666666667, 14.466666666666667, 15.15]","[0.003275997400965334, 0.0004865025990345062, 0.0004865025990349375, 0.0032759974009661935, 0.005000000000003618]"
